Latest Results
t,`Main.M1.s`,`Main.M1.v`
0.000000000000000000,10.000000000000000000,0.000000000000000000
0.000400004000040000,9.999999215184301349,-0.003924039236286207
0.000800008000080001,9.999996860746874106,-0.007848078448000170
0.001200012000120001,9.999992936682110312,-0.011772117610468964
0.001600016000160002,9.999987442982240182,-0.015696156699002553
0.002000020000200002,9.999980379647599449,-0.019620195688964892
0.002400024000240003,9.999971746678546936,-0.023544234555719891
0.002800028000280003,9.999961544075418374,-0.027468273274631506
0.003200032000320003,9.999949771838572588,-0.031392311821063702
0.003600036000360004,9.999936429968350637,-0.035316350170380387
0.004000040000400005,9.999921518465100689,-0.039240388297945517
0.004400044000440005,9.999905037329169133,-0.043164426179123028
0.004800048000480006,9.999886986560907687,-0.047088463789276849
0.005200052000520007,9.999867366160657411,-0.051012501103770959
0.005600056000560008,9.999846176128775355,-0.054936538097969292
0.006000060000600009,9.999823416465599024,-0.058860574747235730
0.006400064000640009,9.999799087171485468,-0.062784611026934306
0.006800068000680010,9.999773188246765088,-0.066708646912428837
0.007200072000720011,9.999745719691807366,-0.070632682379083406
0.007600076000760012,9.999716681506948035,-0.074556717402261871
0.008000080000800013,9.999686073692535260,-0.078480751957328190
0.008400084000840012,9.999653896248918983,-0.082404786019646320
0.008800088000880012,9.999620149176443817,-0.086328819564580161
0.009200092000920012,9.999584832475454377,-0.090252852567493644
0.009600096000960012,9.999547946146309485,-0.094176885003750793
0.010000100001000012,9.999509490189344874,-0.098100916848715511
0.010400104001040012,9.999469464604914037,-0.102024948077751726
0.010800108001080012,9.999427869393361590,-0.105948978666223367
0.011200112001120012,9.999384704555037473,-0.109873008589494392
0.011600116001160012,9.999339970090289853,-0.113797037822928757
0.012000120001200012,9.999293665999463343,-0.117721066341890376
0.012400124001240012,9.999245792282906109,-0.121645094121743222
0.012800128001280012,9.999196348940964540,-0.125569121137851181
0.013200132001320012,9.999145335973992132,-0.129493147365578237
0.013600136001360012,9.999092753382328169,-0.133417172780288362
0.014000140001400012,9.999038601166326146,-0.137341197357345429
0.014400144001440011,9.998982879326330675,-0.141265221072113395
0.014800148001480011,9.998925587862688147,-0.145189243899956244
0.015200152001520011,9.998866726775750280,-0.149113265816237905
0.015600156001560011,9.998806296065859911,-0.153037286796322280
0.016000160001600011,9.998744295733368759,-0.156961306815573326
0.016400164001640013,9.998680725778619660,-0.160885325849354999
0.016800168001680015,9.998615586201966110,-0.164809343873031311
0.017200172001720016,9.998548877003749169,-0.168733360861966053
0.017600176001760018,9.998480598184322332,-0.172657376791523237
0.018000180001800020,9.998410749744028436,-0.176581391637066820
0.018400184001840021,9.998339331683215647,-0.180505405373960731
0.018800188001880023,9.998266344002235684,-0.184429417977568955
